app_turned_on,app_population_fraction,rng_seed,study_name,iteration,predicted_relative_transmission_occupation,predicted_relative_transmission_random,traceable_interaction_fraction,predicted_test_result_wait,manual_trace_on,manual_trace_n_workers_per_100k,predicted_lockdown_occupation_multiplier_working_network,predicted_lockdown_random_network_multiplier,predicted_test_order_wait_priority,predicted_test_result_wait_priority,priority_test_contacts_0_9,priority_test_contacts_10_19,priority_test_contacts_20_29,priority_test_contacts_30_39,priority_test_contacts_40_49,priority_test_contacts_50_59,priority_test_contacts_60_69,priority_test_contacts_70_79,priority_test_contacts_80
1,0.0,0,en_0.00_0,0,,,,,,,,,,,,,,,,,,,
1,0.0,10,en_0.00_1,1,,,,,,,,,,,,,,,,,,,
1,0.0,20,en_0.00_2,2,,,,,,,,,,,,,,,,,,,
1,0.0,30,en_0.00_3,3,,,,,,,,,,,,,,,,,,,
1,0.0,40,en_0.00_4,4,,,,,,,,,,,,,,,,,,,
1,0.0,50,en_0.00_5,5,,,,,,,,,,,,,,,,,,,
1,0.0,60,en_0.00_6,6,,,,,,,,,,,,,,,,,,,
1,0.0,70,en_0.00_7,7,,,,,,,,,,,,,,,,,,,
1,0.0,80,en_0.00_8,8,,,,,,,,,,,,,,,,,,,
1,0.0,90,en_0.00_9,9,,,,,,,,,,,,,,,,,,,
1,0.15,0,en_0.15_0,0,,,,,,,,,,,,,,,,,,,
1,0.15,10,en_0.15_1,1,,,,,,,,,,,,,,,,,,,
1,0.15,20,en_0.15_2,2,,,,,,,,,,,,,,,,,,,
1,0.15,30,en_0.15_3,3,,,,,,,,,,,,,,,,,,,
1,0.15,40,en_0.15_4,4,,,,,,,,,,,,,,,,,,,
1,0.15,50,en_0.15_5,5,,,,,,,,,,,,,,,,,,,
1,0.15,60,en_0.15_6,6,,,,,,,,,,,,,,,,,,,
1,0.15,70,en_0.15_7,7,,,,,,,,,,,,,,,,,,,
1,0.15,80,en_0.15_8,8,,,,,,,,,,,,,,,,,,,
1,0.15,90,en_0.15_9,9,,,,,,,,,,,,,,,,,,,
1,0.3,0,en_0.30_0,0,,,,,,,,,,,,,,,,,,,
1,0.3,10,en_0.30_1,1,,,,,,,,,,,,,,,,,,,
1,0.3,20,en_0.30_2,2,,,,,,,,,,,,,,,,,,,
1,0.3,30,en_0.30_3,3,,,,,,,,,,,,,,,,,,,
1,0.3,40,en_0.30_4,4,,,,,,,,,,,,,,,,,,,
1,0.3,50,en_0.30_5,5,,,,,,,,,,,,,,,,,,,
1,0.3,60,en_0.30_6,6,,,,,,,,,,,,,,,,,,,
1,0.3,70,en_0.30_7,7,,,,,,,,,,,,,,,,,,,
1,0.3,80,en_0.30_8,8,,,,,,,,,,,,,,,,,,,
1,0.3,90,en_0.30_9,9,,,,,,,,,,,,,,,,,,,
1,0.45,0,en_0.45_0,0,,,,,,,,,,,,,,,,,,,
1,0.45,10,en_0.45_1,1,,,,,,,,,,,,,,,,,,,
1,0.45,20,en_0.45_2,2,,,,,,,,,,,,,,,,,,,
1,0.45,30,en_0.45_3,3,,,,,,,,,,,,,,,,,,,
1,0.45,40,en_0.45_4,4,,,,,,,,,,,,,,,,,,,
1,0.45,50,en_0.45_5,5,,,,,,,,,,,,,,,,,,,
1,0.45,60,en_0.45_6,6,,,,,,,,,,,,,,,,,,,
1,0.45,70,en_0.45_7,7,,,,,,,,,,,,,,,,,,,
1,0.45,80,en_0.45_8,8,,,,,,,,,,,,,,,,,,,
1,0.45,90,en_0.45_9,9,,,,,,,,,,,,,,,,,,,
1,0.6,0,en_0.60_0,0,,,,,,,,,,,,,,,,,,,
1,0.6,10,en_0.60_1,1,,,,,,,,,,,,,,,,,,,
1,0.6,20,en_0.60_2,2,,,,,,,,,,,,,,,,,,,
1,0.6,30,en_0.60_3,3,,,,,,,,,,,,,,,,,,,
1,0.6,40,en_0.60_4,4,,,,,,,,,,,,,,,,,,,
1,0.6,50,en_0.60_5,5,,,,,,,,,,,,,,,,,,,
1,0.6,60,en_0.60_6,6,,,,,,,,,,,,,,,,,,,
1,0.6,70,en_0.60_7,7,,,,,,,,,,,,,,,,,,,
1,0.6,80,en_0.60_8,8,,,,,,,,,,,,,,,,,,,
1,0.6,90,en_0.60_9,9,,,,,,,,,,,,,,,,,,,
1,0.75,0,en_0.75_0,0,,,,,,,,,,,,,,,,,,,
1,0.75,10,en_0.75_1,1,,,,,,,,,,,,,,,,,,,
1,0.75,20,en_0.75_2,2,,,,,,,,,,,,,,,,,,,
1,0.75,30,en_0.75_3,3,,,,,,,,,,,,,,,,,,,
1,0.75,40,en_0.75_4,4,,,,,,,,,,,,,,,,,,,
1,0.75,50,en_0.75_5,5,,,,,,,,,,,,,,,,,,,
1,0.75,60,en_0.75_6,6,,,,,,,,,,,,,,,,,,,
1,0.75,70,en_0.75_7,7,,,,,,,,,,,,,,,,,,,
1,0.75,80,en_0.75_8,8,,,,,,,,,,,,,,,,,,,
1,0.75,90,en_0.75_9,9,,,,,,,,,,,,,,,,,,,
1,0.0,0,en_0.00_social_dist_0.4_0,0,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,10,en_0.00_social_dist_0.4_1,1,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,20,en_0.00_social_dist_0.4_2,2,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,30,en_0.00_social_dist_0.4_3,3,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,40,en_0.00_social_dist_0.4_4,4,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,50,en_0.00_social_dist_0.4_5,5,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,60,en_0.00_social_dist_0.4_6,6,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,70,en_0.00_social_dist_0.4_7,7,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,80,en_0.00_social_dist_0.4_8,8,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,90,en_0.00_social_dist_0.4_9,9,0.4,0.4,,,,,,,,,,,,,,,,,
1,0.0,0,en_0.00_social_dist_0.6_0,0,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,10,en_0.00_social_dist_0.6_1,1,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,20,en_0.00_social_dist_0.6_2,2,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,30,en_0.00_social_dist_0.6_3,3,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,40,en_0.00_social_dist_0.6_4,4,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,50,en_0.00_social_dist_0.6_5,5,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,60,en_0.00_social_dist_0.6_6,6,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,70,en_0.00_social_dist_0.6_7,7,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,80,en_0.00_social_dist_0.6_8,8,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,90,en_0.00_social_dist_0.6_9,9,0.6,0.6,,,,,,,,,,,,,,,,,
1,0.0,0,en_0.00_social_dist_0.8_0,0,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,10,en_0.00_social_dist_0.8_1,1,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,20,en_0.00_social_dist_0.8_2,2,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,30,en_0.00_social_dist_0.8_3,3,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,40,en_0.00_social_dist_0.8_4,4,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,50,en_0.00_social_dist_0.8_5,5,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,60,en_0.00_social_dist_0.8_6,6,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,70,en_0.00_social_dist_0.8_7,7,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,80,en_0.00_social_dist_0.8_8,8,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,90,en_0.00_social_dist_0.8_9,9,0.8,0.8,,,,,,,,,,,,,,,,,
1,0.0,0,en_0.00_social_dist_1.0_0,0,1.0,1.0,,,,,,,,,,,,,,,,,
