county_fips,n_seed_infection,infectious_rate,seeding_date_delta,lockdown_scalars,changepoint_scalars,population_0_9,population_10_19,population_20_29,population_30_39,population_40_49,population_50_59,population_60_69,population_70_79,population_80,n_total,household_size_1,household_size_2,household_size_3,household_size_4,household_size_5,household_size_6
53001,,,,,,3073,3717,3036,2229,2297,1631,1253,811,417,18464,1260,1571,812,807,709,723
53003,,,,,,2336,2669,4086,2333,2392,2832,2392,1565,875,21480,2894,3572,1358,931,421,234
53005,,,,,,26308,26720,21801,24060,20323,23144,17627,9410,5647,175040,17170,22012,10243,9183,4628,3494
53007,,,,,,10123,10358,7669,9082,8859,9731,8493,5045,2940,72300,8153,9921,4055,3303,1886,1437
53009,,,,,,6666,7470,6543,6628,7281,10653,13488,8243,4339,71311,11342,13425,3866,2628,1210,757
53011,,,,,,59652,58840,49506,56165,58968,58152,47249,22571,12117,423220,40046,53746,25861,23250,10604,7802
53013,,,,,,421,531,754,447,426,553,508,289,175,4104,597,717,224,179,65,55
53015,,,,,,12645,14123,11094,11499,12251,14514,13975,7755,4424,102280,11667,14619,6287,4968,2260,1650
53017,,,,,,5811,5795,4170,4920,4700,5036,4121,2305,1341,38199,3037,5091,2093,1897,1140,826
53019,,,,,,781,953,665,648,862,1325,1246,702,315,7497,1192,1344,395,276,149,86
53021,,,,,,14083,14631,10105,11757,9231,8042,5347,2638,1494,77328,5687,6199,3712,3925,2743,2825
53023,,,,,,193,236,400,217,201,338,318,178,98,2179,356,410,112,93,39,15
53025,,,,,,16177,14005,13062,11327,10097,9689,8058,4614,2478,89507,7874,9401,4354,4009,2790,2858
53027,,,,,,8069,9498,6995,8532,8183,11048,10845,5817,3156,72143,10806,10682,4029,3094,1534,1165
53029,,,,,,8685,9185,8915,8708,8902,11114,12389,6795,3830,78523,9953,13797,4561,3477,1578,846
53031,,,,,,2375,2757,2580,2619,2927,4810,6218,3801,2004,30091,5112,6398,1536,1007,369,258
53033,30.0,5.12,26.0,"1.0,0.8458257092344333,0.8530554084310972,0.8614665618118779,0.80728267063634,0.784102769369955,0.8041726685815735,0.9003644506704463,0.8133634522145399,0.7890246547418561,0.8008255423717445,0.7943381864168728,0.7362201308322904,0.6419637303544063,0.6937850183578813,0.7062214173004961,0.5340461919711778,0.5063045235446572,0.4649184897327695,0.46173104746709404,0.45046628335354594,0.4033630494882889,0.386567201907768,0.33271252451438477,0.31117008031900695,0.2682402448522529,0.25706775613737887,0.26489976661118064,0.27670642642951065,0.2740004244880649,0.28080223865371867,0.3103501376335208,0.2792976348026605,0.27896806274674035,0.29153348005307494,0.2921808940164499,0.3106414672823402,0.3029844669082095,0.3204923902320506,0.31507807747378247,0.3036280062071593,0.33073157578820395,0.27422926853832863,0.3176358071539707,0.31996284833747374,0.3591189198868677,0.3487272025924689,0.3254055310701976,0.3390767935267627,0.3749888819025505,0.36149297455002305,0.33131676954099754,0.3205481084372609,0.32886844605322635,0.32460614268332316,0.3553126990202473,0.3918149040957525,0.36547188337153924,0.3762100115888294,0.38373157121026136,0.37826415431833005,0.39939767545346344,0.3846052947687452,0.4394427834474601,0.4192232054183201,0.4522389688668723,0.409284293085721,0.4375216664400917,0.452430844372312,0.5872471258979983,0.6451610583221257,0.4203846758879699,0.40394560263073787,0.4285210067519345,0.4116587591002366,0.42740964153183797,0.44197315162749506,0.4999847070179793,0.44298905679322553,0.43636109828955455,0.43630917513237716,0.44677225525307296,0.4725484736111136,0.5673405199069842,0.6071638299014355,0.324440965208101,0.4872344071793286,0.5072641399210325,0.5056501166081586,0.49537316634325823,0.47998708622116915,0.5867663357743056,0.5581955687771843,0.5032971735583611,0.5500749886894962,0.5381175752323488,0.5286754426488958,0.628395199582704,0.658610735089525,0.5416191705126361,0.4925024911637415,0.5474759115629075,0.5480229823331889,0.5319903374892426,0.6260804856706085,0.726992577695481,0.5409933060527765,0.5531202493479251,0.5894692857540466,0.6119055301081662,0.6207783258702917,0.7141695217436679,0.8189126484107606,0.6195407952071993,0.5864358481298739,0.5989312958967768,0.6322773214099824,0.5968650912838428,0.6862418826941364,0.7880787987319496,0.6145262894322575,0.6081315538804267,0.6671380487866694,0.7316605000453481,0.6294377762398545,0.5817275469997126,0.8092546757877859,0.6269636172327824,0.5811373639530016,0.6085612170108649,0.5962647040695189,0.6112214129879415","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999976,0.9999981,0.99998915,0.99989426,0.9993038,0.9968595,0.9869055,0.9583875,0.92156726,0.8832767,0.8543031,0.8308939,0.81462353,0.7999654,0.7872288,0.7766864,0.76803565,0.76088834,0.75616527,0.75068736,0.74641025,0.74349767,0.740088,0.7383175,0.7367529,0.7356839,0.7350616,0.73431563,0.7335588,0.73329717,0.7330837,0.7330729,0.7328347,0.73260194,0.732494,0.7324209,0.7323586,0.73230326,0.73216546,0.73211575,0.7319937,0.7319734,0.73181605,0.7317901,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317054,0.7317054,0.7317054,0.7317054,0.7316194,0.7316194,0.7316036,0.731565,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.7315259,0.7313702,0.7313702,0.73118675,0.73109984,0.73109984,0.73109984,0.7310293,0.73098,0.7308445,0.7306876,0.73050874,0.7304316,0.7303984,0.7302203,0.73017645,0.73017645,0.7301605,0.7300091,0.7300091",237838,220866,270966,307407,276684,263278,195952,93700,59492,1926183,281517,262277,118942,98907,38710,26010
53035,,,,,,31521,31778,35030,31310,30220,37062,29076,17082,7788,250867,33268,35636,15676,12738,5308,3316
53037,,,,,,4876,4949,7182,4438,4618,5469,5179,2808,1517,41036,7228,6351,2459,1826,743,405
53039,,,,,,2587,2523,2057,2277,2455,3060,3019,1645,856,20479,2398,3316,1134,878,478,321
53041,,,,,,9602,9832,7358,8943,9216,10795,10427,5711,3341,75225,8621,11229,4432,3353,1779,1270
53043,,,,,,1124,1313,2020,1133,1088,1405,1214,770,439,10506,1260,1914,563,420,214,145
53045,,,,,,6792,7822,6122,7101,6696,9488,9201,4988,2563,60773,8297,9794,3361,2482,1259,971
53047,,,,,,4948,6013,3573,3921,4808,6244,6295,3486,1595,40883,5265,6320,2174,1754,933,713
53049,,,,,,1943,2371,1960,2036,2393,3410,3533,2033,1240,20919,3515,3908,1013,715,360,280
53051,,,,,,1386,1721,1113,1193,1454,2115,2245,1176,518,12921,1597,2314,723,500,275,168
